run_label,run,model,model_id,provider,pair_id,brand_pair,prompt_type,dimension,brand,est_tokens_in,est_tokens_out,est_tokens_total,latency_ms,est_cost_usd,error,timestamp,prompt_language
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,weighted_recommendation,,,289,147,436,2934,0.0008192,,2026-04-04T08:34:30.987984+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimensional_differentiation,,,279,189,468,2202,0.0009792,,2026-04-04T08:34:34.192231+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,semiotic,Hermes,147,122,269,1659,0.0006056,,2026-04-04T08:34:36.857888+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,narrative,Hermes,145,140,285,1940,0.000676,,2026-04-04T08:34:39.801730+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,ideological,Hermes,148,115,263,1839,0.0005784,,2026-04-04T08:34:42.645454+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,experiential,Hermes,147,110,257,1534,0.0005576,,2026-04-04T08:34:45.184134+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,social,Hermes,148,112,260,1654,0.0005664,,2026-04-04T08:34:47.844648+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,economic,Hermes,144,117,261,1629,0.0005832,,2026-04-04T08:34:50.478038+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,cultural,Hermes,148,87,235,1315,0.0004664,,2026-04-04T08:34:52.798246+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,temporal,Hermes,144,114,258,1559,0.0005712,,2026-04-04T08:34:55.366184+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,semiotic,Coach,146,133,279,2207,0.0006488,,2026-04-04T08:34:58.578892+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,narrative,Coach,145,137,282,4968,0.000664,,2026-04-04T08:35:04.554013+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,ideological,Coach,147,98,245,2189,0.0005096,,2026-04-04T08:35:07.745116+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,experiential,Coach,146,107,253,1635,0.0005448,,2026-04-04T08:35:10.386440+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,social,Coach,148,107,255,1553,0.0005464,,2026-04-04T08:35:12.947756+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,economic,Coach,144,107,251,1505,0.0005432,,2026-04-04T08:35:15.461907+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,cultural,Coach,147,111,258,1551,0.0005616,,2026-04-04T08:35:18.017192+00:00,en
Run 2 (global),1,claude,claude-haiku-4-5,Anthropic,luxury_heritage,Hermes vs Coach,dimension_probe,temporal,Coach,143,127,270,1692,0.0006224,,2026-04-04T08:35:20.713164+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,weighted_recommendation,,,289,126,415,3305,0.00011895,,2026-04-04T08:35:25.020059+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimensional_differentiation,,,279,127,406,3650,0.00011805,,2026-04-04T08:35:29.675766+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,semiotic,Hermes,147,79,226,2032,6.945e-05,,2026-04-04T08:35:32.714762+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,narrative,Hermes,145,81,226,1972,7.035e-05,,2026-04-04T08:35:35.693099+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,ideological,Hermes,148,89,237,2106,7.56e-05,,2026-04-04T08:35:38.806032+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,experiential,Hermes,147,83,230,1553,7.185e-05,,2026-04-04T08:35:41.366503+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,social,Hermes,148,86,234,2195,7.38e-05,,2026-04-04T08:35:44.567597+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,economic,Hermes,144,81,225,2345,7.02e-05,,2026-04-04T08:35:47.920900+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,cultural,Hermes,148,88,236,1904,7.5e-05,,2026-04-04T08:35:50.828900+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,temporal,Hermes,144,88,232,2690,7.44e-05,,2026-04-04T08:35:54.525217+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,semiotic,Coach,146,85,231,2126,7.29e-05,,2026-04-04T08:35:57.658579+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,narrative,Coach,145,95,240,2101,7.875e-05,,2026-04-04T08:36:00.767388+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,ideological,Coach,147,89,236,1985,7.545e-05,,2026-04-04T08:36:03.758513+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,experiential,Coach,146,86,232,1913,7.35e-05,,2026-04-04T08:36:06.678140+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,social,Coach,148,100,248,2619,8.22e-05,,2026-04-04T08:36:10.302095+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,economic,Coach,144,73,217,1671,6.54e-05,,2026-04-04T08:36:12.980642+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,cultural,Coach,147,76,223,2107,6.765e-05,,2026-04-04T08:36:16.807455+00:00,en
Run 2 (global),1,gpt,gpt-4o-mini,OpenAI,luxury_heritage,Hermes vs Coach,dimension_probe,temporal,Coach,143,79,222,2582,6.885e-05,,2026-04-04T08:36:20.395623+00:00,en
Run 2 (global),1,gemini,gemini-2.5-flash,Google,luxury_heritage,Hermes vs Coach,weighted_recommendation,,,289,115,404,9673,0.0,,2026-04-04T08:36:31.070931+00:00,en
Run 2 (global),1,gemini,gemini-2.5-flash,Google,luxury_heritage,Hermes vs Coach,dimensional_differentiation,,,279,118,397,9452,0.0,,2026-04-04T08:36:41.529492+00:00,en
Run 2 (global),1,gemini,gemini-2.5-flash,Google,luxury_heritage,Hermes vs Coach,dimension_probe,semiotic,Hermes,147,100,247,2879,0.0,,2026-04-04T08:36:45.414161+00:00,en
Run 2 (global),1,gemini,gemini-2.5-flash,Google,luxury_heritage,Hermes vs Coach,dimension_probe,narrative,Hermes,145,85,230,4920,0.0,,2026-04-04T08:36:51.338811+00:00,en
Run 2 (global),1,gemini,gemini-2.5-flash,Google,luxury_heritage,Hermes vs Coach,dimension_probe,ideological,Hermes,148,98,246,3234,0.0,,2026-04-04T08:36:55.575515+00:00,en
Run 2 (global),1,gemini,gemini-2.5-flash,Google,luxury_heritage,Hermes vs Coach,dimension_probe,experiential,Hermes,147,89,236,3577,0.0,,2026-04-04T08:37:00.155515+00:00,en
